-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                triton_red_fused_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     153.535us         0.04%     153.535us       3.010us            51  
                        triton_red_fused_add_rms_norm_2         0.08%     505.612us         0.11%     744.952us      20.134us     150.138us         0.04%     150.138us       4.058us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     149.853us         0.04%     149.853us       1.484us           101  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     139.425us         0.03%     139.425us       2.734us            51  
                                            aten::fill_         0.43%       2.836ms         0.62%       4.090ms       4.402us     136.323us         0.03%     136.323us       0.147us           929  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     130.049us         0.03%     130.049us       2.550us            51  
                                              aten::div         0.13%     848.593us         0.21%       1.393ms      27.322us     129.314us         0.03%     129.314us       2.536us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.314us         0.03%     129.314us       2.536us            51  
                        _dixie_fused_accept_prep_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     127.809us         0.03%     127.809us       2.556us            50  
               triton_per_fused_add_mul_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us     124.515us         0.03%     124.515us       2.441us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     122.339us         0.03%     122.339us       1.165us           105  
                                           aten::gather         0.12%     773.277us         0.19%       1.258ms      24.183us     111.841us         0.03%     111.841us       2.151us            52  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     103.873us         0.02%     103.873us       2.037us            51  
                                             aten::tanh         0.08%     546.774us         0.14%     924.911us      18.136us     103.484us         0.02%     103.484us       2.029us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     103.484us         0.02%     103.484us       2.029us            51  
triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_i...         0.17%       1.104ms         0.27%       1.791ms      35.827us      93.058us         0.02%      93.058us       1.861us            50  
triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_i...         0.00%       0.000us         0.00%       0.000us       0.000us      93.058us         0.02%      93.058us       1.861us            50  
          triton_poi_fused__to_copy_cat_embedding_mul_0         0.16%       1.068ms         0.24%       1.592ms      24.879us      84.289us         0.02%      84.289us       1.317us            64  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.13%     841.016us         0.18%       1.152ms      18.006us      78.720us         0.02%      78.720us       1.230us            64  
                                            aten::where         0.10%     653.445us         0.23%       1.493ms      29.275us      78.686us         0.02%      78.686us       1.543us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.686us         0.02%      78.686us       1.543us            51  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      77.952us         0.02%      77.952us       1.528us            51  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 656.977ms
Self CUDA time total: 427.707ms

