-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     246.367us         0.05%     246.367us       0.772us           319  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     242.625us         0.05%     242.625us       2.247us           108  
                                         aten::scatter_         0.19%       1.324ms         0.33%       2.246ms      21.185us     238.401us         0.05%     238.401us       2.249us           106  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     238.401us         0.05%     238.401us       2.249us           106  
                                              aten::add         0.31%       2.109ms         0.49%       3.362ms      15.637us     228.449us         0.05%     228.449us       1.063us           215  
                                              aten::mul         0.19%       1.332ms         0.31%       2.157ms      19.973us     227.744us         0.05%     227.744us       2.109us           108  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.36%       2.478ms         0.52%       3.542ms      18.450us     225.887us         0.05%     225.887us       1.176us           192  
                                        cudaGraphLaunch         8.17%      55.982ms         8.73%      59.857ms     100.769us     205.152us         0.05%     205.152us       0.345us           594  
                       triton_per_fused_rms_norm_view_3         0.24%       1.649ms         0.38%       2.633ms      13.715us     199.646us         0.04%     199.646us       1.040us           192  
                                  cudaStreamIsCapturing         0.28%       1.937ms         0.28%       1.937ms       0.728us     194.022us         0.04%     194.022us       0.073us          2662  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     193.759us         0.04%     193.759us       3.588us            54  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     163.330us         0.04%     163.330us       1.512us           108  
            triton_red_fused_add_marlin_gemm_rms_norm_0         0.09%     632.283us         0.13%     917.258us      24.791us     161.472us         0.04%     161.472us       4.364us            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     158.365us         0.04%     158.365us       1.480us           107  
          triton_poi_fused_gelu_marlin_gemm_mul_slice_1         0.05%     364.122us         0.09%     634.489us      17.148us     158.333us         0.04%     158.333us       4.279us            37  
        triton_red_fused_add_marlin_gemm_mul_rms_norm_4         0.07%     490.316us         0.11%     747.483us      20.763us     156.447us         0.03%     156.447us       4.346us            36  
                        triton_red_fused_add_rms_norm_2         0.07%     499.389us         0.11%     745.232us      20.141us     148.959us         0.03%     148.959us       4.026us            37  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     147.937us         0.03%     147.937us       2.740us            54  
                                            aten::fill_         0.43%       2.956ms         0.63%       4.337ms       4.412us     143.039us         0.03%     143.039us       0.146us           983  
                        _dixie_fused_accept_prep_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     138.081us         0.03%     138.081us       2.605us            53  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     132.122us         0.03%     132.122us       2.447us            54  
               triton_per_fused_add_mul_rms_norm_view_3         0.00%       0.000us         0.00%       0.000us       0.000us     131.843us         0.03%     131.843us       2.442us            54  
                triton_red_fused_marlin_gemm_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     130.341us         0.03%     130.341us       2.414us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.119us         0.03%     129.119us       1.163us           111  
                                           aten::gather         0.12%     815.717us         0.20%       1.397ms      25.404us     114.275us         0.03%     114.275us       2.078us            55  
                                              aten::div         0.12%     811.455us         0.20%       1.376ms      25.476us     112.159us         0.02%     112.159us       2.077us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.159us         0.02%     112.159us       2.077us            54  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     111.137us         0.02%     111.137us       2.058us            54  
                                             aten::tanh         0.09%     590.607us         0.15%       1.013ms      18.761us     107.681us         0.02%     107.681us       1.994us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     107.681us         0.02%     107.681us       1.994us            54  
triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_i...         0.17%       1.133ms         0.28%       1.896ms      35.765us      98.783us         0.02%      98.783us       1.864us            53  
triton_poi_fused_add_bitwise_and_clamp_copy__ge_gt_i...         0.00%       0.000us         0.00%       0.000us       0.000us      98.783us         0.02%      98.783us       1.864us            53  
          triton_poi_fused__to_copy_cat_embedding_mul_0         0.15%       1.042ms         0.23%       1.582ms      24.720us      84.481us         0.02%      84.481us       1.320us            64  
                                            aten::where         0.10%     684.845us         0.24%       1.658ms      30.702us      83.104us         0.02%      83.104us       1.539us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      83.104us         0.02%      83.104us       1.539us            54  
                     eagle_prepare_inputs_padded_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      80.449us         0.02%      80.449us       1.518us            53  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.039us         0.02%      80.039us       1.482us            54  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 685.606ms
Self CUDA time total: 449.656ms

