-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    triton_red_fused_add_mul_rms_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     150.048us         0.03%     150.048us       3.660us            41  
                        triton_red_fused_add_rms_norm_2         0.10%     633.964us         0.15%     952.392us      22.676us     136.160us         0.02%     136.160us       3.242us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.528us         0.02%     134.528us       1.641us            82  
                                 aten::_index_put_impl_         0.12%     777.254us         0.42%       2.657ms      64.800us     132.571us         0.02%     210.076us       5.124us            41  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.571us         0.02%     132.571us       3.233us            41  
                                            aten::where         0.17%       1.094ms         0.40%       2.515ms      30.677us     128.902us         0.02%     128.902us       1.572us            82  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.902us         0.02%     128.902us       1.572us            82  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.861us         0.02%     124.861us       3.045us            41  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.570us         0.02%     124.570us       1.538us            81  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     123.687us         0.02%     123.687us       1.508us            82  
                         rejection_greedy_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     112.639us         0.02%     112.639us       2.816us            40  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     105.825us         0.02%     105.825us       2.581us            41  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 626.224ms
Self CUDA time total: 575.164ms

