-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                triton_poi_fused_gelu_marlin_gemm_mul_3         0.02%     343.749us         0.04%     576.035us      15.569us      62.177us         0.00%      62.177us       1.680us            37  
                                  Lazy Function Loading         0.01%     119.795us         0.01%     119.795us      59.898us      56.544us         0.00%      56.544us      28.272us             2  
                                   cudaEventSynchronize        45.82%     722.759ms        45.82%     722.759ms       1.406ms      49.826us         0.00%      49.826us       0.097us           514  
                                        cudaGraphLaunch         8.21%     129.489ms         8.96%     141.250ms     553.921us      49.153us         0.00%      49.153us       0.193us           255  
                                     triton_poi_fused_6         0.02%     345.353us         0.03%     482.222us      24.111us      46.114us         0.00%      46.114us       2.306us            20  
                                     triton_per_fused_5         0.02%     237.479us         0.02%     375.537us      18.777us      38.944us         0.00%      38.944us       1.947us            20  
                          vllm::unified_kv_cache_update         0.15%       2.303ms         0.18%       2.904ms     138.296us      38.590us         0.00%      38.590us       1.838us            21  
                               cudaEventRecordWithFlags         0.06%     928.192us         0.06%     928.192us       1.813us      36.289us         0.00%      36.289us       0.071us           512  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.01%     199.100us         0.02%     302.005us      18.875us      36.128us         0.00%      36.128us       2.258us            16  
      triton_per_fused_rms_norm_split_with_sizes_view_5         0.01%     150.512us         0.02%     257.778us      16.111us      26.466us         0.00%      26.466us       1.654us            16  
                                    cudaStreamWaitEvent         0.02%     384.704us         0.02%     384.704us       1.503us      21.825us         0.00%      21.825us       0.085us           256  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       4.384us         0.00%       4.384us       2.192us             2  
                    triton_red_fused_add_mul_rms_norm_4         0.00%      14.630us         0.00%      22.121us      22.121us       3.968us         0.00%       3.968us       3.968us             1  
                                Activity Buffer Request         0.98%      15.451ms         1.00%      15.785ms       1.579ms       3.744us         0.00%      70.272us       7.027us            10  
               triton_per_fused_add_mul_rms_norm_view_3         0.00%      15.321us         0.00%      23.441us      23.441us       3.360us         0.00%       3.360us       3.360us             1  
                                           Buffer Flush         0.18%       2.769ms         0.18%       2.781ms     308.960us       2.624us         0.00%       2.624us       0.292us             9  
                triton_red_fused_marlin_gemm_rms_norm_0         0.00%      24.561us         0.00%      38.481us      38.481us       2.592us         0.00%       2.592us       2.592us             1  
                                     triton_poi_fused_2         0.00%      22.121us         0.00%      31.831us      31.831us       2.239us         0.00%       2.239us       2.239us             1  
                                     triton_per_fused_1         0.00%      16.111us         0.00%      25.321us      25.321us       1.888us         0.00%       1.888us       1.888us             1  
                  execute_context_1(30)_generation_0(0)         0.30%       4.660ms         2.68%      42.205ms      42.205ms       0.000us         0.00%       8.299ms       8.299ms             1  
                                            aten::slice         2.68%      42.244ms         3.63%      57.331ms       2.934us       0.000us         0.00%       0.000us       0.000us         19538  
                                       aten::as_strided         1.08%      17.012ms         1.08%      17.012ms       0.763us       0.000us         0.00%       0.000us       0.000us         22290  
                                        cudaMemcpyAsync         2.72%      42.874ms         2.72%      42.874ms       8.815us       0.000us         0.00%       0.000us       0.000us          4864  
                                       aten::lift_fresh         0.01%     199.888us         0.01%     199.888us       0.260us       0.000us         0.00%       0.000us       0.000us           768  
                                          aten::flatten         0.03%     525.206us         0.05%     863.190us       3.372us       0.000us         0.00%       0.000us       0.000us           256  
                                             aten::view         0.15%       2.376ms         0.15%       2.376ms       1.031us       0.000us         0.00%       0.000us       0.000us          2305  
                                           aten::detach         0.04%     605.992us         0.04%     605.992us       1.184us       0.000us         0.00%       0.000us       0.000us           512  
                                               aten::to         0.24%       3.834ms         4.04%      63.736ms      22.634us       0.000us         0.00%       4.180ms       1.484us          2816  
                                     aten::resolve_conj         0.02%     245.694us         0.02%     245.694us       0.320us       0.000us         0.00%       0.000us       0.000us           768  
                                      aten::resolve_neg         0.01%     102.185us         0.01%     102.185us       0.133us       0.000us         0.00%       0.000us       0.000us           768  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.577s
Self CUDA time total: 1.616s

